ID,GENENAME
ENSMUST00000002964.13,Adgre5
ENSMUST00000002976.4,Il17ra
ENSMUST00000002979.15,Lamb1
ENSMUST00000002989.10,Arrdc2
ENSMUST00000003017.12,Tbxas1
ENSMUST00000003027.13,Map2k7
ENSMUST00000003029.13,Timm44
ENSMUST00000003035.11,Disp1
ENSMUST00000003038.11,Ap2a2
ENSMUST00000003044.13,Pnkp
ENSMUST00000003049.7,Med25
ENSMUST00000003061.13,Bcam
ENSMUST00000003066.15,Apoe
ENSMUST00000003071.9,Apoc4
ENSMUST00000003074.15,Apoc2
ENSMUST00000003079.11,Prkar2b
ENSMUST00000003100.9,Cyp2f2
ENSMUST00000003115.8,Cdkn1b
ENSMUST00000003117.14,Ap1m1
ENSMUST00000003121.8,Rab8a
ENSMUST00000003123.9,Fam32a
ENSMUST00000003135.13,Elf3
ENSMUST00000003137.14,Cyp2c29
ENSMUST00000003152.13,Stk11
ENSMUST00000003154.6,Efna2
ENSMUST00000003156.14,Atp5d
ENSMUST00000003183.11,Ppp5c
ENSMUST00000003191.13,Prkd3
ENSMUST00000003203.13,Cdk12
ENSMUST00000003207.10,Lipe
ENSMUST00000003219.13,Cnot11
ENSMUST00000003238.13,Foxj2
ENSMUST00000003245.9,Sri
ENSMUST00000003268.10,Sh3gl1
ENSMUST00000003274.7,Ebi3
ENSMUST00000003284.15,Irf3
ENSMUST00000003290.11,Bcl2l12
ENSMUST00000003310.6,Ranbp2
ENSMUST00000003312.4,Edar
ENSMUST00000003313.9,Grk5
ENSMUST00000003318.12,Dvl3
ENSMUST00000003319.5,Abcf3
ENSMUST00000003320.13,Eif2b5
ENSMUST00000003345.9,Amph
ENSMUST00000003351.12,Grin2c
ENSMUST00000003360.9,Car11
ENSMUST00000003369.9,Plag1
ENSMUST00000003370.13,Hck
ENSMUST00000003386.6,Mrpl4
ENSMUST00000003395.9,Pde4a
ENSMUST00000003397.8,Ap1m2
ENSMUST00000003404.8,Glg1
ENSMUST00000003413.6,Cyp4f39
ENSMUST00000003416.14,Cyp4f16
ENSMUST00000003433.10,Mknk2
ENSMUST00000003434.13,Btbd2
ENSMUST00000003436.11,Abhd17a
ENSMUST00000003438.10,Mob3a
ENSMUST00000003442.8,Cacnb3
ENSMUST00000003444.5,Ccdc65
ENSMUST00000003445.7,Fkbp11
ENSMUST00000003450.14,Ddx23
ENSMUST00000003451.10,Rnd1
ENSMUST00000003459.3,Myo1g
ENSMUST00000003461.14,Ogdh
ENSMUST00000003468.9,Grik5
ENSMUST00000003469.7,Cd79a
ENSMUST00000003493.8,Prkcsh
ENSMUST00000003501.8,Elavl3
ENSMUST00000003502.3,Rab3b
ENSMUST00000003509.9,St8sia6
ENSMUST00000003512.8,Fcgrt
ENSMUST00000003513.10,Nosip
ENSMUST00000003521.9,Rps11
ENSMUST00000003527.9,Supt5
ENSMUST00000003529.8,Paf1
ENSMUST00000003536.8,Med29
ENSMUST00000003544.13,Bicd1
ENSMUST00000003550.10,Ncstn
ENSMUST00000003554.10,Casq1
ENSMUST00000003561.9,Phyhip
ENSMUST00000003568.14,Crhr2
ENSMUST00000003569.5,Inmt
ENSMUST00000003572.9,Gars
ENSMUST00000003574.4,Cyp4f18
ENSMUST00000003575.10,Tpm4
ENSMUST00000003597.14,Psg18
ENSMUST00000003599.8,Pcdhgb6
ENSMUST00000003612.12,Dusp3
ENSMUST00000003620.12,Prodh
ENSMUST00000003621.9,Ess2
ENSMUST00000003622.15,Slc25a1
ENSMUST00000003628.12,Ddr1
ENSMUST00000003635.6,Ier3
ENSMUST00000003640.3,Fosb
ENSMUST00000003642.6,Klc4
ENSMUST00000003643.2,Ckm
ENSMUST00000003645.8,Ercc1
ENSMUST00000003655.8,As3mt
ENSMUST00000003659.8,Comp
ENSMUST00000003669.7,Homer3
ENSMUST00000003677.10,Rnf215
ENSMUST00000003681.7,Sec14l2
ENSMUST00000003687.7,Tgfb3
ENSMUST00000003705.11,Aven
ENSMUST00000003710.9,Aak1
ENSMUST00000003714.12,Cp
ENSMUST00000003717.12,Abcb4
ENSMUST00000003720.4,Crot
ENSMUST00000003726.15,Brd4
ENSMUST00000003741.15,Rps6ka1
ENSMUST00000003754.7,Calb2
ENSMUST00000003759.10,Ciao1
ENSMUST00000003762.7,Has1
ENSMUST00000003777.4,Taf6l
ENSMUST00000003808.7,Gdf15
ENSMUST00000003818.13,Insig2
ENSMUST00000003826.7,Htr3a
ENSMUST00000003828.10,Kpna6
ENSMUST00000003843.15,Man1a
ENSMUST00000003850.7,Itpkc
ENSMUST00000003857.6,Shkbp1
ENSMUST00000003860.12,Coq8b
ENSMUST00000003870.14,Mxi1
ENSMUST00000003876.9,Brd8
ENSMUST00000003898.11,Ece2
ENSMUST00000003906.12,Farsa
ENSMUST00000003907.13,Gcdh
ENSMUST00000003908.10,Mast2
ENSMUST00000003910.12,Dnase2a
ENSMUST00000003911.12,Rad23a
ENSMUST00000003912.6,Calr
ENSMUST00000003922.5,Syce2
ENSMUST00000003946.8,Nob1
ENSMUST00000003947.8,Nqo1
ENSMUST00000003961.15,Ppfia3
ENSMUST00000003964.16,Gys1
ENSMUST00000003971.9,Lin7b
ENSMUST00000003981.5,Il7r
ENSMUST00000004036.5,Efnb3
ENSMUST00000004050.6,Mmd
ENSMUST00000004051.7,Hlf
ENSMUST00000004054.12,Kpna1
ENSMUST00000004055.9,Dzip1
ENSMUST00000004057.8,Fam162a
ENSMUST00000004072.9,Rpl8
ENSMUST00000004076.4,Grm3
ENSMUST00000004094.14,Ssbp2
ENSMUST00000004097.15,Cux1
ENSMUST00000004120.8,Fancl
ENSMUST00000004133.10,Brinp2
ENSMUST00000004134.10,Gstm5
ENSMUST00000004136.9,Gstm3
ENSMUST00000004137.10,Gstm7
ENSMUST00000004140.10,Gstm1
ENSMUST00000004143.2,Stat5b
ENSMUST00000004145.13,Stat5a
ENSMUST00000004156.9,Map3k11
ENSMUST00000004172.14,Hmox2
ENSMUST00000004173.11,Cdip1
ENSMUST00000004200.8,Cwc15
ENSMUST00000004201.7,Col5a3
ENSMUST00000004202.16,Dnmt1
ENSMUST00000004203.5,Ppan
ENSMUST00000004206.9,Eif3g
